"Video","Data","Commenti.aggiunti","Iscritti.conquistati","Iscritti.persi","N..di.Mi.piace","N..di.Non.mi.piace","Tempo.di.visualizzazione..ore.","Visualizzazioni"
" -UWJsbJL8Do","2020-04-01",NA,0,NA,0,0,0,0
" -UWJsbJL8Do","2020-04-02",NA,0,NA,0,0,0,0
" -UWJsbJL8Do","2020-04-03",NA,0,NA,0,0,0,0
" -UWJsbJL8Do","2020-04-04",NA,0,NA,0,0,0,0
" -UWJsbJL8Do","2020-04-05",NA,0,NA,0,0,0,0
" -UWJsbJL8Do","2020-04-06",NA,0,NA,0,0,0,0
" -UWJsbJL8Do","2020-04-07",NA,0,NA,0,0,0,0
" -UWJsbJL8Do","2020-04-08",NA,0,NA,0,0,0,0
" -UWJsbJL8Do","2020-04-09",NA,0,NA,0,0,0,0
" -UWJsbJL8Do","2020-04-10",NA,0,NA,0,0,0,0
" -UWJsbJL8Do","2020-04-11",NA,0,NA,0,0,0,0
" -UWJsbJL8Do","2020-04-12",NA,0,NA,0,0,0,0
" -UWJsbJL8Do","2020-04-13",NA,0,NA,0,0,0,0
" -UWJsbJL8Do","2020-04-14",NA,0,NA,0,0,0,0
" -UWJsbJL8Do","2020-04-15",NA,0,NA,0,0,0,0
" -UWJsbJL8Do","2020-04-16",NA,0,NA,0,0,0,0
" -UWJsbJL8Do","2020-04-17",NA,0,NA,0,0,0,0
" -UWJsbJL8Do","2020-04-18",NA,0,NA,0,0,0,0
" -UWJsbJL8Do","2020-04-19",NA,0,NA,0,0,0,0
" -UWJsbJL8Do","2020-04-20",NA,0,NA,0,0,0,0
" -UWJsbJL8Do","2020-04-21",NA,0,NA,6,0,1.5123,16
" -UWJsbJL8Do","2020-04-22",NA,0,NA,0,0,0.2377,3
" -UWJsbJL8Do","2020-04-23",NA,0,NA,0,0,0.027,3
" -UWJsbJL8Do","2020-04-24",NA,0,NA,2,0,0.3362,3
" -UWJsbJL8Do","2020-04-25",NA,0,NA,1,0,0.5315,5
" -UWJsbJL8Do","2020-04-26",NA,0,NA,0,0,0.1787,2
" -UWJsbJL8Do","2020-04-27",NA,0,NA,0,0,0.0346,2
" -UWJsbJL8Do","2020-04-28",NA,0,NA,0,0,0,0
" -UWJsbJL8Do","2020-04-29",NA,0,NA,0,0,0.0022,1
" -UWJsbJL8Do","2020-04-30",NA,0,NA,0,0,0,0
" -UWJsbJL8Do","2020-05-01",NA,0,NA,0,0,0.1584,1
" -UWJsbJL8Do","2020-05-02",NA,0,NA,0,0,0.3832,6
" -UWJsbJL8Do","2020-05-03",NA,0,NA,0,0,0.0608,1
" -UWJsbJL8Do","2020-05-04",NA,0,NA,0,0,0.0498,2
" -UWJsbJL8Do","2020-05-05",NA,0,NA,0,0,0,0
" -UWJsbJL8Do","2020-05-06",NA,0,NA,0,0,0,0
" -UWJsbJL8Do","2020-05-07",NA,0,NA,1,0,0.1712,2
" -UWJsbJL8Do","2020-05-08",NA,0,NA,0,0,0,0
" -UWJsbJL8Do","2020-05-09",NA,0,NA,1,0,0.1084,4
" -UWJsbJL8Do","2020-05-10",NA,0,NA,0,0,0.174,1
" -UWJsbJL8Do","2020-05-11",NA,0,NA,0,0,0.1217,1
" -UWJsbJL8Do","2020-05-12",NA,0,NA,0,0,0.0194,1
" -UWJsbJL8Do","2020-05-13",NA,0,NA,0,0,0,0
" -UWJsbJL8Do","2020-05-14",NA,0,NA,0,0,0,0
" -UWJsbJL8Do","2020-05-15",NA,0,NA,0,0,0.2269,3
" -UWJsbJL8Do","2020-05-16",NA,0,NA,0,0,0.1618,1
" -UWJsbJL8Do","2020-05-17",NA,0,NA,0,0,0.0202,3
" -UWJsbJL8Do","2020-05-18",NA,0,NA,0,0,0,0
" -UWJsbJL8Do","2020-05-19",NA,0,NA,0,1,0,0
" -UWJsbJL8Do","2020-05-20",NA,0,NA,0,0,0,0
" -UWJsbJL8Do","2020-05-21",NA,0,NA,0,0,0,0
" -UWJsbJL8Do","2020-05-22",NA,0,NA,0,0,0.0168,1
" -UWJsbJL8Do","2020-05-23",NA,0,NA,1,0,0.3241,2
" -UWJsbJL8Do","2020-05-24",NA,0,NA,0,0,0.1639,2
" -UWJsbJL8Do","2020-05-25",NA,0,NA,0,0,7e-04,1
" -UWJsbJL8Do","2020-05-26",NA,0,NA,0,0,0.1868,2
" -UWJsbJL8Do","2020-05-27",NA,0,NA,1,0,0.2779,5
" -UWJsbJL8Do","2020-05-28",NA,0,NA,0,0,0,0
" -UWJsbJL8Do","2020-05-29",NA,0,NA,0,0,0.324,2
" -UWJsbJL8Do","2020-05-30",NA,0,NA,0,0,0,0
" -UWJsbJL8Do","2020-05-31",NA,0,NA,0,0,0.0533,1
" -UWJsbJL8Do","2020-06-01",NA,0,NA,0,0,0,0
" -UWJsbJL8Do","2020-06-02",NA,0,NA,0,0,0.1062,2
" -UWJsbJL8Do","2020-06-03",NA,0,NA,0,0,0,0
" -UWJsbJL8Do","2020-06-04",NA,0,NA,0,0,0.2826,3
" -UWJsbJL8Do","2020-06-05",NA,0,NA,0,0,0.1955,3
" -UWJsbJL8Do","2020-06-06",NA,0,NA,0,0,0.1631,1
" -UWJsbJL8Do","2020-06-07",NA,0,NA,0,0,0.0582,1
" -UWJsbJL8Do","2020-06-08",NA,0,NA,0,0,0.01,1
" -UWJsbJL8Do","2020-06-09",NA,0,NA,0,0,0.1568,2
" -UWJsbJL8Do","2020-06-10",NA,0,NA,0,0,0.0035,1
" -UWJsbJL8Do","2020-06-11",NA,0,NA,0,0,0,0
" -UWJsbJL8Do","2020-06-12",NA,0,NA,0,0,0,0
" -UWJsbJL8Do","2020-06-13",NA,0,NA,0,0,0.1618,2
" -UWJsbJL8Do","2020-06-14",NA,0,NA,0,0,0.0106,2
