Video,Titolo video,Ora pubblicazione video,Commenti aggiunti,N. di Non mi piace,N. di Mi piace,Iscritti persi,Iscritti conquistati,Visualizzazioni,Tempo di visualizzazione (ore),Iscritti,Le tue entrate stimate (EUR),Impressioni,Percentuale di clic delle impressioni (%)
Totale,,,1353,337,7357,176,2490,89910,10752.608,2314,403.037,1132304,5.2
p8rze8aXbBk,TESLA Inclusa nel S&P 500: Cosa Succede Ora??,"Nov 18, 2020",106,5,115,2,19,1474,292.6827,17,3.51,19888,4.63
u3-Q3FmRDbs,Il Mio PORTAFOGLIO da 26000€! Ecco Come lo Gestisco,"Sep 13, 2020",61,9,445,7,323,7486,956.9325,316,12.863,104900,4.21
A8RdtBMNTLQ,Qual è Il MIGLIOR Broker: DEGIRO vs eToro vs Trading212,"Oct 8, 2020",60,7,191,1,37,2094,286.7849,36,43.38,24943,4.85
83BnzNllyv8,NON Investo Più Finché... | 3 Azioni Dicembre 2020,"Dec 1, 2020",52,10,328,0,54,2572,384.2392,54,23.593,20551,8.18
tnC2bTe7btY,NIO: BOLLA o OCCASIONE?? | Analisi Trimestrale Nio,"Nov 21, 2020",49,6,204,4,40,1750,281.7306,36,2.842,15799,7.14
_BLNRxOiuTg,Quanti Soldi Ho PERSO Finora?? | Speciale 1000 Iscritti,"Oct 1, 2020",41,6,157,1,16,1472,209.7908,15,10.918,17736,5.44
3oqHZZzrRPk,Quanto Guadagno da Youtube con 2000 Iscritti?!,"Dec 5, 2020",36,4,189,2,26,1846,194.845,24,13.939,23021,5.34
ogelOyjMVFw,Investire ORA o Aspettare Ancora?? | Il Nuovo Crollo dei Mercati,"Oct 29, 2020",34,10,252,1,42,2509,244.8883,41,26.876,25188,6.66
gX3iIdvwfsI,Nuova BOLLA in Arrivo?? | Occhio a Questi Settori..,"Nov 10, 2020",32,11,201,1,22,2018,266.815,21,24.625,28905,4.71
57xSclHUn5Q,TESLA vs NIO: Quale è Meglio? | Due Grandi BOLLE??,"Jul 6, 2020",31,10,102,0,35,1769,202.335,35,4.248,22051,5.16
nzrhjPWmUSs,Come Pagare le TASSE con Degiro?,"Jul 11, 2020",31,10,146,0,50,2178,254.4189,50,6.411,20323,5.86
ATxdeGwj7Vw,La MIGLIORE Azione per Investire in ITALIA! | Analisi Intesa Sanpaolo,"Aug 22, 2020",30,6,136,0,37,2022,226.5886,37,7.34,32827,4.37
