Video,Titolo video,Ora pubblicazione video,Iscritti persi,Iscritti conquistati,Visualizzazioni,Tempo di visualizzazione (ore),Iscritti,Le tue entrate stimate (EUR),Impressioni,Percentuale di clic delle impressioni (%)
Totale,,,34,895,48364,6293.691,861,318.599,615687,5
u3-Q3FmRDbs,Il Mio PORTAFOGLIO da 26000€! Ecco Come lo Gestisco,"Sep 13, 2020",7,323,7486,956.9325,316,12.863,104900,4.21
PIjLdOBUlqM,Le MIGLIORI 3 Azioni da COMPRARE! | 3 Azioni che Compro Ottobre 2020,"Oct 4, 2020",0,58,2879,408.2513,58,13.345,36766,5.06
83BnzNllyv8,NON Investo Più Finché... | 3 Azioni Dicembre 2020,"Dec 1, 2020",0,54,2572,384.2392,54,23.593,20551,8.18
ogelOyjMVFw,Investire ORA o Aspettare Ancora?? | Il Nuovo Crollo dei Mercati,"Oct 29, 2020",1,42,2509,244.8883,41,26.876,25188,6.66
fql9ZjfOrC4,Le MIGLIORI 3 Azioni da COMPRARE! | 3 Azioni che Compro Settembre 2020,"Sep 3, 2020",1,41,2057,235.1907,40,2.447,24769,5.63
tnC2bTe7btY,NIO: BOLLA o OCCASIONE?? | Analisi Trimestrale Nio,"Nov 21, 2020",4,40,1750,281.7306,36,2.842,15799,7.14
A8RdtBMNTLQ,Qual è Il MIGLIOR Broker: DEGIRO vs eToro vs Trading212,"Oct 8, 2020",1,37,2094,286.7849,36,43.38,24943,4.85
BZRh-RNx5JE,SNOWFLAKE: Ha Senso Compare Adesso?? | La Nuova Azione di Warren Buffett,"Sep 20, 2020",0,29,1303,149.6255,29,2.43,18689,4.4
3oqHZZzrRPk,Quanto Guadagno da Youtube con 2000 Iscritti?!,"Dec 5, 2020",2,26,1846,194.845,24,13.939,23021,5.34
WF1CAKubEdE,Perché NON Compro 3 Azioni a Novembre (forse),"Nov 6, 2020",1,26,2032,232.005,25,15.741,25452,5.47
VvsWZNqPqbs,Come Investire 1000€ in AZIONI? | Guida Realistica,"Sep 17, 2020",2,22,1668,220.7027,20,5.803,23877,4.51
gX3iIdvwfsI,Nuova BOLLA in Arrivo?? | Occhio a Questi Settori..,"Nov 10, 2020",1,22,2018,266.815,21,24.625,28905,4.71
nw4A-7sBs0A,Investire nei Settori in Difficoltà: TRAPPOLA o OPPORTUNITÀ? | Analisi Recovery Stocks,"Sep 28, 2020",0,22,1529,224.6214,22,16.782,22724,4.31
TRIsIP98rgU,Investire in CINA: solo VANTAGGI o Tanti RISCHI? | Tutto Quello da Sapere,"Oct 21, 2020",1,20,1863,295.9079,19,18.227,28519,4.09
Y0o6MNSO1JE,TESLA: La BOLLA è Finalmente Scoppiata?? | Nuovo Crollo dei Mercati,"Sep 6, 2020",3,20,1430,122.6042,17,0.831,15469,6.36
p8rze8aXbBk,TESLA Inclusa nel S&P 500: Cosa Succede Ora??,"Nov 18, 2020",2,19,1474,292.6827,17,3.51,19888,4.63
_BLNRxOiuTg,Quanti Soldi Ho PERSO Finora?? | Speciale 1000 Iscritti,"Oct 1, 2020",1,16,1472,209.7908,15,10.918,17736,5.44
YC47q9Rf9Gw,TESLA: Corsa Finita o Appena Iniziata?? | Le Mie Nuove Previsioni,"Oct 23, 2020",1,15,1398,174.5007,14,9.464,21223,4.09
FehNFhqwWJ0,Ho CREATO un ETF! | I Miei Nuovi Investimenti,"Nov 13, 2020",2,14,1591,188.3456,12,13.568,14395,6.98
agm1oCUZ1O0,TESLA vs NIO: Quanto Sono Importanti i Numeri? | Perché Tesla Dominerà il Decennio,"Oct 11, 2020",2,13,1170,154.1315,11,9.035,14844,4.21
SxwrRgBDMps,Quando VENDERE un'Azione?,"Nov 25, 2020",0,12,1291,172.932,12,16.225,17270,4.76
6AA5iOS8cxc,Quanto STUDIARE Prima di Investire in AZIONI?? | Tutto Quello che Ti Serve,"Nov 16, 2020",0,7,1240,166.8995,7,5.279,17724,4.37
PcJInZaULH4,Creare un Portafoglio con 1000€ al Mese | Una Poltrona per Due Episodio 4 con @Davide Ravera,"Oct 26, 2020",1,7,1495,190.0228,6,14.405,21064,4.64
Rj5GmhqGyGc,È Possibile RADDOPPIARE 1000€ in Pochi Mesi?! | Come Guadagnare 1000€ Realmente,"Sep 25, 2020",0,5,1321,151.309,5,6.901,15468,5.63
fW6HVXOQ5lk,Chi Vincerà le ELEZIONI?? E Cosa Succederà ai MERCATI Dopo?,"Nov 2, 2020",1,5,876,87.9325,4,5.572,16503,3.53
