Video,Titolo video,Ora pubblicazione video,Iscritti persi,Iscritti conquistati,Visualizzazioni,Tempo di visualizzazione (ore),Iscritti,Le tue entrate stimate (EUR),Impressioni,Percentuale di clic delle impressioni (%)
Totale,,,176,2490,89910,10752.608,2314,403.037,1132304,5.2
u3-Q3FmRDbs,Il Mio PORTAFOGLIO da 26000€! Ecco Come lo Gestisco,"Sep 13, 2020",7,323,7486,956.9325,316,12.863,104900,4.21
QlNjvQB7kYE,Le MIGLIORI 3 Azioni da COMPRARE! | 3 Azioni che Compro Giugno 2020,"May 31, 2020",0,93,2925,266.1026,93,1.587,28756,7.6
fl9oO2539Mw,Il Mio Portafoglio da 16000€! | Ecco TUTTE le Azioni che Possiedo,"Apr 20, 2020",0,90,3307,362.3502,90,4.148,29226,6.97
IGGEJegyZPM,Come Fare Una Analisi Fondamentale da Zero? | Analisi Fondamentale di Coca Cola,"May 20, 2020",0,82,3593,441.1883,82,17.634,29977,8.5
K17Q7SffOo8,Le MIGLIORI 3 Azioni da COMPRARE! | 3 Azioni Che Compro Luglio 2020,"Jul 1, 2020",0,65,1828,191.0656,65,0.532,18104,6.89
PIjLdOBUlqM,Le MIGLIORI 3 Azioni da COMPRARE! | 3 Azioni che Compro Ottobre 2020,"Oct 4, 2020",0,58,2879,408.2513,58,13.345,36766,5.06
83BnzNllyv8,NON Investo Più Finché... | 3 Azioni Dicembre 2020,"Dec 1, 2020",0,54,2572,384.2392,54,23.593,20551,8.18
nzrhjPWmUSs,Come Pagare le TASSE con Degiro?,"Jul 11, 2020",0,50,2178,254.4189,50,6.411,20323,5.86
ogelOyjMVFw,Investire ORA o Aspettare Ancora?? | Il Nuovo Crollo dei Mercati,"Oct 29, 2020",1,42,2509,244.8883,41,26.876,25188,6.66
fql9ZjfOrC4,Le MIGLIORI 3 Azioni da COMPRARE! | 3 Azioni che Compro Settembre 2020,"Sep 3, 2020",1,41,2057,235.1907,40,2.447,24769,5.63
tnC2bTe7btY,NIO: BOLLA o OCCASIONE?? | Analisi Trimestrale Nio,"Nov 21, 2020",4,40,1750,281.7306,36,2.842,15799,7.14
A8RdtBMNTLQ,Qual è Il MIGLIOR Broker: DEGIRO vs eToro vs Trading212,"Oct 8, 2020",1,37,2094,286.7849,36,43.38,24943,4.85
