Data,N. di Mi piace
2020-04-01,3
2020-04-02,0
2020-04-03,0
2020-04-04,0
2020-04-05,0
2020-04-06,5
2020-04-07,1
2020-04-08,-1
2020-04-09,7
2020-04-10,1
2020-04-11,0
2020-04-12,0
2020-04-13,4
2020-04-14,4
2020-04-15,0
2020-04-16,2
2020-04-17,7
2020-04-18,0
2020-04-19,1
2020-04-20,11
2020-04-21,7
2020-04-22,0
2020-04-23,0
2020-04-24,6
2020-04-25,4
2020-04-26,12
2020-04-27,1
2020-04-28,9
2020-04-29,8
2020-04-30,16
2020-05-01,16
2020-05-02,1
2020-05-03,1
2020-05-04,15
2020-05-05,0
2020-05-06,8
2020-05-07,2
2020-05-08,7
2020-05-09,19
2020-05-10,1
2020-05-11,8
2020-05-12,2
2020-05-13,7
2020-05-14,11
2020-05-15,2
2020-05-16,5
2020-05-17,2
2020-05-18,9
2020-05-19,2
2020-05-20,18
2020-05-21,0
2020-05-22,2
2020-05-23,30
2020-05-24,11
2020-05-25,23
2020-05-26,4
2020-05-27,63
2020-05-28,9
2020-05-29,4
2020-05-30,4
2020-05-31,33
2020-06-01,15
2020-06-02,17
2020-06-03,40
2020-06-04,21
2020-06-05,5
2020-06-06,5
2020-06-07,54
2020-06-08,26
2020-06-09,17
2020-06-10,42
2020-06-11,11
2020-06-12,10
2020-06-13,24
2020-06-14,50
2020-06-15,14
2020-06-16,5
2020-06-17,10
2020-06-18,47
2020-06-19,9
2020-06-20,7
2020-06-21,4
2020-06-22,7
2020-06-23,5
2020-06-24,35
2020-06-25,10
2020-06-26,5
2020-06-27,12
2020-06-28,71
2020-06-29,11
2020-06-30,6
2020-07-01,55
2020-07-02,16
2020-07-03,3
2020-07-04,5
2020-07-05,8
2020-07-06,45
2020-07-07,26
2020-07-08,8
2020-07-09,13
2020-07-10,6
2020-07-11,39
2020-07-12,16
2020-07-13,24
2020-07-14,20
2020-07-15,49
2020-07-16,24
2020-07-17,9
2020-07-18,9
2020-07-19,43
2020-07-20,28
2020-07-21,12
2020-07-22,13
2020-07-23,39
2020-07-24,19
2020-07-25,14
2020-07-26,10
2020-07-27,3
2020-07-28,10
2020-07-29,6
2020-07-30,5
2020-07-31,44
2020-08-01,24
2020-08-02,15
2020-08-03,8
2020-08-04,3
2020-08-05,49
2020-08-06,21
2020-08-07,11
2020-08-08,7
2020-08-09,11
2020-08-10,44
2020-08-11,22
2020-08-12,4
2020-08-13,2
2020-08-14,7
2020-08-15,7
2020-08-16,7
2020-08-17,63
2020-08-18,17
2020-08-19,10
2020-08-20,4
2020-08-21,3
2020-08-22,78
2020-08-23,26
2020-08-24,65
2020-08-25,17
2020-08-26,12
2020-08-27,10
2020-08-28,7
2020-08-29,12
2020-08-30,81
2020-08-31,30
2020-09-01,19
2020-09-02,8
2020-09-03,65
2020-09-04,24
2020-09-05,10
2020-09-06,80
2020-09-07,17
2020-09-08,10
2020-09-09,4
2020-09-10,7
2020-09-11,11
2020-09-12,6
2020-09-13,197
2020-09-14,71
2020-09-15,38
2020-09-16,21
2020-09-17,85
2020-09-18,74
2020-09-19,49
2020-09-20,118
2020-09-21,39
2020-09-22,35
2020-09-23,13
2020-09-24,13
2020-09-25,75
2020-09-26,12
2020-09-27,15
2020-09-28,100
2020-09-29,44
2020-09-30,7
2020-10-01,112
2020-10-02,19
2020-10-03,20
2020-10-04,93
2020-10-05,23
2020-10-06,19
2020-10-07,12
2020-10-08,102
2020-10-09,41
2020-10-10,28
2020-10-11,82
2020-10-12,35
2020-10-13,16
2020-10-14,13
2020-10-15,14
2020-10-16,13
2020-10-17,16
2020-10-18,19
2020-10-19,14
2020-10-20,10
2020-10-21,97
2020-10-22,44
2020-10-23,128
2020-10-24,53
2020-10-25,35
2020-10-26,86
2020-10-27,26
2020-10-28,18
2020-10-29,192
2020-10-30,51
2020-10-31,35
2020-11-01,22
2020-11-02,85
2020-11-03,16
2020-11-04,8
2020-11-05,8
2020-11-06,118
2020-11-07,34
2020-11-08,27
2020-11-09,10
2020-11-10,156
2020-11-11,27
2020-11-12,21
2020-11-13,124
2020-11-14,23
2020-11-15,16
2020-11-16,98
2020-11-17,121
2020-11-18,37
2020-11-19,18
2020-11-20,13
2020-11-21,158
2020-11-22,41
2020-11-23,17
2020-11-24,25
2020-11-25,118
2020-11-26,55
2020-11-27,14
2020-11-28,14
2020-11-29,15
2020-11-30,18
2020-12-01,245
2020-12-02,47
2020-12-03,24
2020-12-04,16
2020-12-05,158
2020-12-06,47
2020-12-07,74
2020-12-08,141
2020-12-09,39
2020-12-10,41
2020-12-11,15
