Data,Tempo di visualizzazione (ore)
2020-04-01,0.2174
2020-04-02,0
2020-04-03,0.0345
2020-04-04,0
2020-04-05,0
2020-04-06,1.0029
2020-04-07,0.2405
2020-04-08,0.2288
2020-04-09,1.3096
2020-04-10,0.4142
2020-04-11,0.1122
2020-04-12,0.0032
2020-04-13,0.6962
2020-04-14,1.5638
2020-04-15,0.0369
2020-04-16,1.8687
2020-04-17,2.1009
2020-04-18,0.226
2020-04-19,0.5752
2020-04-20,6.2854
2020-04-21,2.6303
2020-04-22,0.784
2020-04-23,1.4079
2020-04-24,2.8797
2020-04-25,2.0466
2020-04-26,6.2996
2020-04-27,2.2832
2020-04-28,3.1613
2020-04-29,2.8426
2020-04-30,8.9926
2020-05-01,6.6481
2020-05-02,4.0556
2020-05-03,1.6621
2020-05-04,10.2082
2020-05-05,2.4209
2020-05-06,4.6965
2020-05-07,2.0556
2020-05-08,5.957
2020-05-09,4.6919
2020-05-10,1.9668
2020-05-11,6.7758
2020-05-12,3.8191
2020-05-13,4.6538
2020-05-14,5.5551
2020-05-15,4.5667
2020-05-16,5.9303
2020-05-17,1.4793
2020-05-18,3.7153
2020-05-19,1.7473
2020-05-20,10.0969
2020-05-21,2.8141
2020-05-22,2.1805
2020-05-23,14.6935
2020-05-24,6.4357
2020-05-25,8.1064
2020-05-26,7.8158
2020-05-27,21.4117
2020-05-28,6.3696
2020-05-29,3.8236
2020-05-30,6.5672
2020-05-31,26.1211
2020-06-01,12.7483
2020-06-02,22.9538
2020-06-03,33.0203
2020-06-04,18.1624
2020-06-05,9.0504
2020-06-06,13.8999
2020-06-07,50.2412
2020-06-08,29.1506
2020-06-09,19.099
2020-06-10,45.8765
2020-06-11,20.8495
2020-06-12,12.9664
2020-06-13,34.3502
2020-06-14,46.5079
2020-06-15,17.7623
2020-06-16,12.8591
2020-06-17,9.6014
2020-06-18,37.5204
2020-06-19,10.8936
2020-06-20,13.7013
2020-06-21,17.4304
2020-06-22,7.7791
2020-06-23,10.7871
2020-06-24,23.7135
2020-06-25,14.0143
2020-06-26,9.3048
2020-06-27,13.3676
2020-06-28,50.5697
2020-06-29,18.028
2020-06-30,13.7034
2020-07-01,61.5704
2020-07-02,29.269
2020-07-03,15.643
2020-07-04,15.9411
2020-07-05,18.5126
2020-07-06,53.4426
2020-07-07,34.6851
2020-07-08,12.7052
2020-07-09,15.0038
2020-07-10,15.1574
2020-07-11,39.1123
2020-07-12,25.0378
2020-07-13,21.1577
2020-07-14,22.1863
2020-07-15,48.3694
2020-07-16,21.4298
2020-07-17,13.5033
2020-07-18,13.9034
2020-07-19,43.5798
2020-07-20,27.8506
2020-07-21,16.9933
2020-07-22,19.8551
2020-07-23,40.2249
2020-07-24,22.3125
2020-07-25,15.9839
2020-07-26,15.9959
2020-07-27,10.8157
2020-07-28,12.3826
2020-07-29,10.6531
2020-07-30,7.8001
2020-07-31,44.6496
2020-08-01,29.0624
2020-08-02,17.1691
2020-08-03,10.2846
2020-08-04,8.0264
2020-08-05,64.1783
2020-08-06,36.3393
2020-08-07,22.4763
2020-08-08,12.9018
2020-08-09,18.3157
2020-08-10,54.3358
2020-08-11,31.5095
2020-08-12,18.2796
2020-08-13,13.7124
2020-08-14,15.5401
2020-08-15,15.9611
2020-08-16,14.5658
2020-08-17,64.7855
2020-08-18,28.7477
2020-08-19,13.195
2020-08-20,14.0248
2020-08-21,18.3647
2020-08-22,98.6191
2020-08-23,41.4412
2020-08-24,81.336
2020-08-25,25.6461
2020-08-26,23.6806
2020-08-27,18.1558
2020-08-28,19.096
2020-08-29,22.634
2020-08-30,95.7012
2020-08-31,44.5183
2020-09-01,31.3678
2020-09-02,17.5462
2020-09-03,17.418
2020-09-04,16.6162
2020-09-05,12.7441
2020-09-06,14.5342
2020-09-07,9.4806
2020-09-08,16.8821
2020-09-09,17.5848
2020-09-10,12.9197
2020-09-11,14.3755
2020-09-12,10.937
2020-09-13,31.8771
2020-09-14,35.8901
2020-09-15,30.6668
2020-09-16,27.7761
2020-09-17,29.9012
2020-09-18,42.3049
2020-09-19,37.0974
2020-09-20,34.3003
2020-09-21,42.954
2020-09-22,29.7601
2020-09-23,23.9765
2020-09-24,25.9033
2020-09-25,14.3447
2020-09-26,22.5583
2020-09-27,16.423
2020-09-28,21.9412
2020-09-29,20.0641
2020-09-30,15.9506
2020-10-01,12.4188
2020-10-02,14.4971
2020-10-03,12.825
2020-10-04,18.5343
2020-10-05,15.0091
2020-10-06,13.7725
2020-10-07,13.0183
2020-10-08,11.6926
2020-10-09,13.0499
2020-10-10,15.6999
2020-10-11,15.8629
2020-10-12,11.4658
2020-10-13,11.3697
2020-10-14,14.2519
2020-10-15,15.9833
2020-10-16,13.396
2020-10-17,16.5908
2020-10-18,15.5773
2020-10-19,15.212
2020-10-20,11.6166
2020-10-21,10.8581
2020-10-22,11.7738
2020-10-23,11.2385
2020-10-24,14.2595
2020-10-25,12.4805
2020-10-26,12.3483
2020-10-27,13.3519
2020-10-28,16.5903
2020-10-29,14.8894
2020-10-30,19.8386
2020-10-31,13.2458
2020-11-01,13.6785
2020-11-02,12.1276
2020-11-03,9.3811
2020-11-04,9.8322
2020-11-05,10.3813
2020-11-06,12.5494
2020-11-07,10.5477
2020-11-08,16.9724
2020-11-09,12.3471
2020-11-10,13.0074
2020-11-11,14.4986
2020-11-12,11.8156
2020-11-13,11.8375
2020-11-14,20.4983
2020-11-15,17.7495
2020-11-16,11.0211
2020-11-17,11.7099
2020-11-18,15.0576
2020-11-19,14.12
2020-11-20,13.9753
2020-11-21,15.0973
2020-11-22,12.4226
2020-11-23,8.0583
2020-11-24,14.6528
2020-11-25,11.8047
2020-11-26,11.3955
2020-11-27,8.6527
2020-11-28,12.1125
2020-11-29,12.1594
2020-11-30,10.6236
2020-12-01,12.1126
2020-12-02,9.415
2020-12-03,11.1107
2020-12-04,13.353
2020-12-05,14.4415
2020-12-06,18.7736
2020-12-07,18.0792
2020-12-08,17.2045
2020-12-09,13.3232
2020-12-10,9.1974
2020-12-11,12.0577
