Data,Visualizzazioni
2020-04-01,13
2020-04-02,0
2020-04-03,1
2020-04-04,0
2020-04-05,0
2020-04-06,8
2020-04-07,1
2020-04-08,4
2020-04-09,18
2020-04-10,10
2020-04-11,3
2020-04-12,3
2020-04-13,5
2020-04-14,20
2020-04-15,3
2020-04-16,20
2020-04-17,22
2020-04-18,9
2020-04-19,5
2020-04-20,71
2020-04-21,27
2020-04-22,8
2020-04-23,15
2020-04-24,24
2020-04-25,25
2020-04-26,43
2020-04-27,25
2020-04-28,37
2020-04-29,34
2020-04-30,81
2020-05-01,79
2020-05-02,40
2020-05-03,18
2020-05-04,95
2020-05-05,32
2020-05-06,62
2020-05-07,34
2020-05-08,72
2020-05-09,64
2020-05-10,20
2020-05-11,81
2020-05-12,51
2020-05-13,44
2020-05-14,61
2020-05-15,54
2020-05-16,59
2020-05-17,37
2020-05-18,38
2020-05-19,18
2020-05-20,108
2020-05-21,26
2020-05-22,33
2020-05-23,126
2020-05-24,67
2020-05-25,136
2020-05-26,68
2020-05-27,232
2020-05-28,65
2020-05-29,41
2020-05-30,49
2020-05-31,224
2020-06-01,125
2020-06-02,216
2020-06-03,261
2020-06-04,158
2020-06-05,100
2020-06-06,162
2020-06-07,500
2020-06-08,282
2020-06-09,186
2020-06-10,426
2020-06-11,215
2020-06-12,122
2020-06-13,306
2020-06-14,416
2020-06-15,185
2020-06-16,151
2020-06-17,101
2020-06-18,313
2020-06-19,137
2020-06-20,150
2020-06-21,163
2020-06-22,92
2020-06-23,113
2020-06-24,269
2020-06-25,159
2020-06-26,95
2020-06-27,133
2020-06-28,518
2020-06-29,184
2020-06-30,154
2020-07-01,514
2020-07-02,256
2020-07-03,151
2020-07-04,132
2020-07-05,157
2020-07-06,429
2020-07-07,313
2020-07-08,152
2020-07-09,144
2020-07-10,126
2020-07-11,322
2020-07-12,248
2020-07-13,197
2020-07-14,191
2020-07-15,466
2020-07-16,259
2020-07-17,136
2020-07-18,127
2020-07-19,389
2020-07-20,258
2020-07-21,179
2020-07-22,177
2020-07-23,362
2020-07-24,222
2020-07-25,151
2020-07-26,166
2020-07-27,113
2020-07-28,133
2020-07-29,131
2020-07-30,105
2020-07-31,382
2020-08-01,266
2020-08-02,173
2020-08-03,121
2020-08-04,80
2020-08-05,538
2020-08-06,334
2020-08-07,204
2020-08-08,147
2020-08-09,171
2020-08-10,418
2020-08-11,288
2020-08-12,173
2020-08-13,158
2020-08-14,147
2020-08-15,151
2020-08-16,135
2020-08-17,512
2020-08-18,262
2020-08-19,140
2020-08-20,159
2020-08-21,170
2020-08-22,765
2020-08-23,399
2020-08-24,668
2020-08-25,239
2020-08-26,270
2020-08-27,186
2020-08-28,192
2020-08-29,222
2020-08-30,748
2020-08-31,404
2020-09-01,330
2020-09-02,213
2020-09-03,902
2020-09-04,346
2020-09-05,242
2020-09-06,866
2020-09-07,298
2020-09-08,275
2020-09-09,239
2020-09-10,197
2020-09-11,224
2020-09-12,158
2020-09-13,2286
2020-09-14,1305
2020-09-15,733
2020-09-16,495
2020-09-17,1112
2020-09-18,1026
2020-09-19,852
2020-09-20,1534
2020-09-21,935
2020-09-22,592
2020-09-23,427
2020-09-24,442
2020-09-25,936
2020-09-26,395
2020-09-27,320
2020-09-28,1099
2020-09-29,534
2020-09-30,292
2020-10-01,1055
2020-10-02,350
2020-10-03,262
2020-10-04,1237
2020-10-05,548
2020-10-06,384
2020-10-07,320
2020-10-08,915
2020-10-09,506
2020-10-10,397
2020-10-11,860
2020-10-12,514
2020-10-13,333
2020-10-14,313
2020-10-15,296
2020-10-16,241
2020-10-17,270
2020-10-18,255
2020-10-19,233
2020-10-20,185
2020-10-21,964
2020-10-22,511
2020-10-23,983
2020-10-24,624
2020-10-25,402
2020-10-26,1005
2020-10-27,435
2020-10-28,334
2020-10-29,1757
2020-10-30,710
2020-10-31,398
2020-11-01,415
2020-11-02,952
2020-11-03,440
2020-11-04,299
2020-11-05,268
2020-11-06,1192
2020-11-07,573
2020-11-08,444
2020-11-09,409
2020-11-10,1533
2020-11-11,514
2020-11-12,482
2020-11-13,1342
2020-11-14,663
2020-11-15,488
2020-11-16,954
2020-11-17,1342
2020-11-18,718
2020-11-19,364
2020-11-20,357
2020-11-21,1349
2020-11-22,490
2020-11-23,285
2020-11-24,359
2020-11-25,965
2020-11-26,569
2020-11-27,287
2020-11-28,357
2020-11-29,288
2020-11-30,255
2020-12-01,1683
2020-12-02,617
2020-12-03,389
2020-12-04,369
2020-12-05,1531
2020-12-06,765
2020-12-07,581
2020-12-08,1339
2020-12-09,657
2020-12-10,479
2020-12-11,356
