"Data","Video","Commenti.aggiunti","Iscritti.conquistati"
"2020-04-01"," -vyzTpwd4Jw",0,1
"2020-04-01","_BLNRxOiuTg",0,0
"2020-04-01","_LRP4bGW9uI",0,0
"2020-04-01","04T9B4Tz_Ls",0,0
"2020-04-01","3oqHZZzrRPk",0,0
"2020-04-01","57xSclHUn5Q",0,0
"2020-04-01","5FQ-cH82Fqc",0,0
"2020-04-01","5xsAiaoGS9Y",0,0
"2020-04-01","6AA5iOS8cxc",0,0
"2020-04-01","7grWxjb6M1Q",0,0
"2020-04-01","83BnzNllyv8",0,0
"2020-04-01","A8RdtBMNTLQ",0,0
"2020-04-01","agm1oCUZ1O0",0,0
"2020-04-01","ai4qF5TbdoQ",0,0
"2020-04-01","AtllqdKQi68",0,0
"2020-04-01","ATxdeGwj7Vw",0,0
"2020-04-01","bHqlgYIilbA",0,0
"2020-04-01","BZRh-RNx5JE",0,0
"2020-04-01","Cwtt55TyyIo",0,0
"2020-04-01","dBb-TaXtr9w",0,0
"2020-04-01","DslthLffuDg",0,0
"2020-04-01","FehNFhqwWJ0",0,0
"2020-04-01","fl9oO2539Mw",0,0
"2020-04-01","fmLw1jg89ig",0,0
"2020-04-01","fql9ZjfOrC4",0,0
"2020-04-01","fW6HVXOQ5lk",0,0
"2020-04-01","gX3iIdvwfsI",0,0
"2020-04-01","IGGEJegyZPM",0,0
"2020-04-01","JFg4F2hgzm4",0,0
"2020-04-01","joo5mVBCOgY",0,0
"2020-04-01","k_c56YWKeQ0",0,0
"2020-04-01","K17Q7SffOo8",0,0
"2020-04-01","kA9WRL3SaYA",0,0
"2020-04-01","KNrTarehupA",0,0
"2020-04-01","l5FutIV8okc",0,0
"2020-04-01","lmegUM3arJ8",0,0
"2020-04-01","nw-oF5Y1Fbk",0,0
"2020-04-01","nw4A-7sBs0A",0,0
"2020-04-01","nzrhjPWmUSs",0,0
"2020-04-01","ogelOyjMVFw",0,0
"2020-04-01","Oqe7R_QUtn0",0,0
"2020-04-01","oz6zWuk19NY",0,0
"2020-04-01","p8rze8aXbBk",0,0
"2020-04-01","PcJInZaULH4",0,0
"2020-04-01","PIjLdOBUlqM",0,0
"2020-04-01","QC5VF5Aqyfc",0,0
"2020-04-01","QlNjvQB7kYE",0,0
"2020-04-01","QNuEdemg9vg",0,0
"2020-04-01","Rj5GmhqGyGc",0,0
"2020-04-01","SBp65QbiyTY",0,0
"2020-04-01","SIZvKetVbz0",0,0
"2020-04-01","SxwrRgBDMps",0,0
"2020-04-01","syMRfV1TLWQ",0,0
"2020-04-01","tnC2bTe7btY",0,0
"2020-04-01","TRIsIP98rgU",0,0
"2020-04-01","TRnyY6XebB4",0,0
"2020-04-01","u3-Q3FmRDbs",0,0
"2020-04-01","UrN1T1SfsIE",0,0
"2020-04-01","VvsWZNqPqbs",0,0
"2020-04-01","WF1CAKubEdE",0,0
"2020-04-01","wTt8GoTJl34",0,0
"2020-04-01","Y0o6MNSO1JE",0,0
"2020-04-01","YC47q9Rf9Gw",0,0
"2020-04-01","YgM8G6-1DIY",0,0
"2020-04-01","yGt5qBzskUM",0,0
"2020-04-01","ZqXx7zmkmWE",0,0
"2020-04-02"," -vyzTpwd4Jw",0,0
"2020-04-02","_BLNRxOiuTg",0,0
"2020-04-02","_LRP4bGW9uI",0,0
